COMBUSTIBLE,ESTADO,FECHA_REGISTRO,ANIO_REGISTRO,CLASE,DEPARTAMENTO,CANTIDAD
ELECTRICO,ACTIVO,01/31/2022 12:00:00 AM,2022,CAMION,Antioquia,1
ELECTRICO,ACTIVO,12/29/2020 12:00:00 AM,2020,CAMIONETA,Cundinamarca,1
ELECTRICO,ACTIVO,11/09/2017 12:00:00 AM,2017,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,05/24/2013 12:00:00 AM,2013,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,10/23/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,02/13/2015 12:00:00 AM,2015,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,10/22/2021 12:00:00 AM,2021,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,01/14/2021 12:00:00 AM,2021,MICROBUS,Valle del Cauca,1
ELECTRICO,ACTIVO,08/31/2021 12:00:00 AM,2021,CUADRICICLO,Cundinamarca,1
ELECTRICO,ACTIVO,09/27/2021 12:00:00 AM,2021,CUADRICICLO,Antioquia,1
ELECTRICO,ACTIVO,06/24/2021 12:00:00 AM,2021,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,11/11/2020 12:00:00 AM,2020,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,12/09/2021 12:00:00 AM,2021,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,10/28/2020 12:00:00 AM,2020,AUTOMOVIL,Meta,1
ELECTRICO,ACTIVO,12/17/2019 12:00:00 AM,2019,CAMION,Cundinamarca,1
ELECTRICO,ACTIVO,02/01/2021 12:00:00 AM,2021,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,10/02/2020 12:00:00 AM,2020,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,10/27/2021 12:00:00 AM,2021,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,12/14/2021 12:00:00 AM,2021,CAMIONETA,Valle del Cauca,1
ELECTRICO,ACTIVO,12/28/2021 12:00:00 AM,2021,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,09/22/2021 12:00:00 AM,2021,CAMIONETA,Bogota D.C.,1
ELECTRICO,ACTIVO,01/11/2022 12:00:00 AM,2022,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,07/22/2021 12:00:00 AM,2021,CAMIONETA,Cundinamarca,1
ELECTRICO,ACTIVO,02/16/2021 12:00:00 AM,2021,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,10/18/2011 12:00:00 AM,2011,CAMIONETA,Cundinamarca,1
ELECTRICO,ACTIVO,02/26/2019 12:00:00 AM,2019,MOTOCICLETA,Valle del Cauca,1
ELECTRICO,ACTIVO,12/14/2020 12:00:00 AM,2020,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,06/28/2018 12:00:00 AM,2018,CUADRICICLO,Bogota D.C.,1
ELECTRICO,ACTIVO,01/22/2022 12:00:00 AM,2022,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,10/15/2020 12:00:00 AM,2020,BUS,Bogota D.C.,1
